0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,20
Celestial Body (Reference code),Reference code,,Semimajor Axis (m),Orbital Eccentricity (degrees),Orbital Inclination (degrees),Argument of Periapsis (degrees),Longitude of the Ascending Node (degrees),Mean Anomaly at Epoch UT=0.0 (radians),Parent Body Reference Code,Periapsis,,Apoapsis,,Sidereal Orbital Period
,,,SMA,ECC,INC,LPE,LAN,MNA,REF,radius (meters),altitude (meters),radius (meters),Altitude (meters),seconds
Moho,4,Sun,5263138304,0.2,7,15,70,3.14,0,152098232,3948910628,6315765980,6054165980,2215754.22
Eve,5,Sun,9832684544,0.01,2.1,0,15,3.14,0,9734357701,9472757701,9931011387,9669411387,5657995.15
Gilly,13,Eve,31500000,0.55,12,10,80,0.9,5,14174999.62,13474999.62,48825000.38,48125000.38,388587.38
Kerbin,1,Sun,13599840256,0,0,0,0,3.14,0,13599840256,13338240256,13599840256,13338240256,9203545
Mun,2,Kerbin,12000000,0,0,0,0,0.9,1,12000000,11400000,12000000,11400000,138984.38
Minmus,3,Kerbin,47000000,0,6,38,78,1.7,1,47000000,46400000,47000000,46400000,1077310.52
Duna,6,Sun,20726155264,0.05,0.06,0,136,3.14,0,19669121365,19407521365,21783189163,21521589163,17315400.14
Ike,7,Duna,3200000,0.03,0.2,0,0,1.7,6,3104000,2784000,3296000,2976000,65517.86
Dres,15,Sun,40839348203,0.15,5,90,280,3.14,0,34917642884,34656042884,46761053522,46499453522,47893063.1
Jool,8,Sun,68773560320,0.05,1.3,0,52,0.1,0,65334882253,65073282253,72212238387,71950638387,104661432.1
Laythe,9,Jool,27184000,0,0,0,0,3.14,8,27184000,21184000,27184000,21184000,52980.88
Vall,10,Jool,43152000,0,0,0,0,0.9,8,43152000,37152000,43152000,37152000,105962.09
Tylo,12,Jool,68500000,0,0.03,0,0,3.14,8,68500000,62500000,68500000,62500000,211926.36
Bop,11,Jool,128500000,0.24,15,25,10,0.9,8,98302500,92302500,158697500,152697500,544507.4
Pol,14,Jool,179890000,0.17,4.25,15,2,0.9,8,149155794,143155794,210624206,204624206,901902.6
Eeloo,16,Sun,90118820000,0.26,6.15,260,50,3.14,0,66687926800,66426326800,1.1355E+11,1.13288E+11,156992048.4
Earth,99,Sun,149598261000,0.01671123,7.155,114.20783,348.73936,357.517176,0,147098290000,147098290000,152098232000,152098232000,31558149.76
