Celestial Body (Reference Code)	Reference Code		Radius	Gravitational Parameter	Sphere of Influence Radius	Sidereal Rotation	Atmosphere and Oceans				
		Orbits	meters	m³/s²	meters	Period (seconds)	Has Atmosphere?	0-Altitude Pressure (kPa)	Scale Height (km)	Atmospheric Cutoff Altitude (km)	Has Oceans?
Sun	0		261600000	1.17E+18	1.00E+300	432000					
Moho	4	Sun	250000	1.69E+11	9646663	1210000	No				
Eve	5	Sun	700000	8.17E+12	85109364.74	80500	Yes	506.634	7	90	Yes
Gilly	13	Eve	13000	8.29E+06	126123.2717	28255	No			-	
Kerbin	1	Sun	600000	3.53E+12	84159286.48	21600	Oxygen	101.327	5	70	Yes
Mun	2	Kerbin	200000	6.51E+10	2429559.117	138984.3766	No			-	
Minmus	3	Kerbin	60000	1.77E+09	2247428.388	40400	No			-	
Duna	6	Sun	320000	3.01E+11	47921949.37	65517.85938	Yes	20.265	3	50	
Ike	7	Duna	130000	1.86E+10	1049598.939	65517.86213	No			-	
Dres	15	Sun	138000	2.15E+10	32832840	34800	No			-	
Jool	8	Sun	6000000	2.83E+14	2455985185	36000	Yes	1519.902	10	200	
Laythe	9	Jool	500000	1.96E+12	3723645.811	52980.87906	Oxygen	81.061	4	50	Yes
Vall	10	Jool	300000	2.07E+11	2406401.445	105962.0889	No			-	
Tylo	12	Jool	600000	2.83E+12	10856518.37	211926.358	No			-	
Bop	11	Jool	65000	2.49E+09	993002.8029	544507	No			-	
Pol	14	Jool	44000	7.22E+08	1042139	901903	No			-	
Eeloo	16	Sun	210000	7.44E+10	119082942	19460	No			-	
Earth	20	Sun	6378100	3.986E+14	925000000	86164.10035	Oxygen	101.325			Yes
											
											
											
											
